epic,apogee,gaia_source,camp,ra,dec,glat,glon,ev,teff,teff_err,logg,logg_err,meh,meh_err,feh,feh_err,alpham,alpham_err,alpha_flags,vmag,vmag_err,jmag,jmag_err,kmag,kmag_err,jk,j_k_err,numax,numax_err,dnu,dnu_err,fdnu,fdnu_err,fdnu_flags,kappa_m,kappa_m_err,mass,mass_err,kappa_r,kappa_r_err,radius,radius_err,para,para_err,ecc,ecc_err,zmax,zmax_err,ang_mom,ang_mom_err,tot_energy,tot_energy_err,u,u_err,v,v_err,w,w_err,gaia_binary_flag
211705076,2M08374542+1558546,657961231375051264,"[5, 16, 18]",129.4393,15.9818,30.56,209.68,RGB,4664,7,2.872,0.021,0.0019,0.006,-0.0087,0.0072,0.072,0.005,-1,9.402,0.875,7.555,0.02,6.913,0.026,0.642,0.033,98.008,0.574,9.267,0.091,1.024,0.0008,0,1.463,0.063,1.061,0.069,6.776,0.139,6.089,0.125,3.461,0.02,0.1815,0.0003,0.3807,0.0027,-1.761,0.0021,-1.3107,0.0005,42.95,0.19,-20.3,0.11,-23.85,0.13,1
212873074,2M13305142-0302596,3637132654493312512,17,202.7143,-3.0499,58.36,321.95,RGB,4789,11,2.782,0.029,-0.2655,0.0084,-0.2752,0.0098,0.0575,0.0079,0,7.027,0.812,5.143,0.017,4.488,0.036,0.655,0.04,49.941,0.411,5.198,0.019,1.0261,0.0009,0,1.955,0.056,1.476,0.05,10.974,0.121,9.992,0.111,6.812,0.033,0.1669,0.0002,0.171,0.0005,-2.1553,0.0006,-1.2094,0.0002,-14.14,0.05,35.11,0.04,1.52,0.11,0
204651310,2M16593864-2127129,4126325130252374528,11,254.911,-21.4536,12.79,0.4,RGB,4667,7,3.027,0.02,0.1912,0.0055,0.1745,0.0068,0.0274,0.0044,0,9.782,0.788,7.647,0.019,6.91,0.018,0.737,0.026,148.608,1.503,12.949,0.032,1.0158,0.0012,0,1.338,0.043,0.971,0.033,5.262,0.059,4.73,0.053,4.492,0.018,0.0468,0.0005,0.1447,0.0006,-1.8019,0.0008,-1.3169,0.0002,-18.09,0.19,-4.28,0.02,8.23,0.05,0
212386819,2M13364485-1513074,3606298775037819392,6,204.1869,-15.2187,46.25,318.84,RC,4761,8,2.474,0.022,-0.0508,0.006,-0.0572,0.0071,0.01,0.0053,0,9.494,0.824,7.644,0.019,7.001,0.024,0.643,0.031,32.987,1.205,3.952,0.069,0.9978,0.0006,0,1.686,0.219,1.262,0.196,12.54,0.634,11.385,0.575,1.911,0.022,0.1568,0.0003,0.4823,0.0006,-2.0743,0.0006,-1.2282,0.0003,0.11,0.08,32.22,0.08,7.26,0.11,0
228774437,2M12441419-0751315,3675439948842715648,10,191.0591,-7.8588,54.97,299.82,RC,5006,9,2.847,0.021,0.0398,0.0056,0.032,0.0065,-0.0191,0.0052,0,9.181,0.842,7.536,0.026,6.968,0.023,0.568,0.035,89.247,1.575,7.56,0.093,0.9932,0.0005,0,2.495,0.18,2.012,0.189,9.273,0.281,8.632,0.261,2.298,0.019,0.0701,0.0003,0.3881,0.0002,-1.9035,0.0012,-1.2837,0.0003,-30.32,0.06,5.12,0.09,0.95,0.12,0
212349887,2M13394793-1608035,3605235169336614400,6,204.9497,-16.1343,45.17,319.52,RC,4828,9,2.457,0.024,-0.2352,0.0064,-0.2454,0.0074,0.0469,0.0061,0,9.756,0.93,7.78,0.026,7.094,0.02,0.686,0.033,31.614,0.702,3.97,0.035,0.9981,0.0007,0,1.457,0.11,1.113,0.097,11.908,0.338,10.886,0.309,1.818,0.022,0.204,0.0006,0.4503,0.0009,-1.9458,0.0026,-1.2532,0.0005,-71.84,0.14,14.23,0.11,-3.16,0.18,0
204970434,2M16494197-2001358,4130505439095442944,2,252.4249,-20.0266,15.51,0.14,RGB,4827,14,2.415,0.035,-0.4503,0.01,-0.4612,0.0115,0.2651,0.0101,1,13.355,1.235,11.327,0.023,10.624,0.021,0.703,0.031,25.992,0.701,2.979,0.036,1.0214,0.0023,0,2.554,0.241,1.951,0.217,17.386,0.63,15.892,0.576,0.407,0.02,0.3159,0.002,1.2523,0.0081,-0.983,0.0434,-1.5328,0.0156,-89.72,1.05,-59.57,0.18,-66.23,0.36,0
228909546,2M12254205-0306337,3693228260274665472,10,186.4252,-3.1094,59.13,290.33,RC,4725,8,2.378,0.022,-0.0284,0.006,-0.0343,0.0072,-0.0026,0.0052,0,9.507,0.918,7.555,0.026,6.877,0.021,0.678,0.033,31.082,0.639,3.69,0.153,0.9972,0.0009,0,1.857,0.329,1.374,0.37,13.557,1.158,12.261,1.048,1.737,0.024,0.0537,0.0003,0.6553,0.0011,-1.9355,0.0006,-1.2723,0.0001,-13.68,0.06,8.85,0.08,18.0,0.12,0
201698245,2M11284829+0336340,3812520972624745472,1,172.2012,3.6095,59.3,259.34,RGB,4665,10,2.239,0.032,-0.6215,0.0091,-0.6287,0.0103,0.2823,0.0092,1,12.718,1.122,10.769,0.022,10.092,0.021,0.677,0.03,27.508,0.835,3.05,0.115,1.0242,0.0057,0,2.757,0.486,2.0,0.511,17.558,1.427,15.778,1.283,0.406,0.019,0.3177,0.0028,3.592,0.019,-1.091,0.0456,-1.3769,0.0012,-47.89,0.2,-107.95,0.39,-95.19,0.63,0
201495451,2M10544228+0027166,3804835077108840448,14,163.6762,0.4546,51.32,251.66,RC,4662,7,2.43,0.021,0.0292,0.0059,0.0166,0.0072,0.0114,0.0049,0,10.013,1.122,7.97,0.027,7.262,0.026,0.708,0.037,32.034,0.489,4.081,0.039,0.9984,0.0004,0,1.359,0.081,0.985,0.075,11.423,0.279,10.262,0.251,1.803,0.02,0.1917,0.0005,0.4131,0.0003,-1.6493,0.0016,-1.3427,0.0002,-54.83,0.05,-33.83,0.11,-0.31,0.14,0
