,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,18.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.0,107.0,194.0,75.0,8.0,0.0,0.0,0.0,0.0,0.0
3,9.0,171.0,386.0,184.0,79.0,21.0,1.0,0.0,0.0,0.0
4,16.0,318.0,649.0,389.0,159.0,31.0,11.0,2.0,0.0,0.0
5,27.0,451.0,714.0,437.0,211.0,79.0,24.0,3.0,4.0,0.0
6,33.0,411.0,682.0,381.0,230.0,77.0,34.0,12.0,6.0,0.0
7,24.0,185.0,271.0,170.0,116.0,63.0,25.0,11.0,7.0,0.0
8,5.0,18.0,25.0,13.0,16.0,12.0,14.0,7.0,1.0,0.0
9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0
