,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17.0,61.0,78.0,37.0,24.0,13.0,10.0,0.0,0.0,0.0
2,85.0,436.0,526.0,260.0,138.0,111.0,84.0,30.0,5.0,1.0
3,195.0,798.0,969.0,513.0,331.0,174.0,101.0,75.0,43.0,4.0
4,710.0,1842.0,1944.0,1010.0,617.0,254.0,179.0,90.0,50.0,23.0
5,1609.0,3780.0,2778.0,1712.0,1103.0,433.0,229.0,124.0,72.0,36.0
6,3228.0,6468.0,4163.0,2841.0,2004.0,622.0,396.0,188.0,107.0,62.0
7,4899.0,9249.0,5364.0,3853.0,3280.0,822.0,480.0,273.0,161.0,94.0
8,3251.0,5789.0,3303.0,2465.0,2507.0,372.0,223.0,114.0,62.0,31.0
9,557.0,879.0,675.0,899.0,1530.0,225.0,22.0,66.0,58.0,24.0
