,0,1,2,3,4,5,6,7,8,9
0,8.8,123.4,137.0,65.1,34.7,25.1,15.9,13.0,9.0,4.5
1,41.6,579.3,753.2,310.4,163.8,93.0,59.8,40.9,25.4,12.5
2,103.5,1008.4,1483.4,690.2,299.3,142.6,82.6,56.7,40.1,17.5
3,285.3,1692.6,2563.9,1286.8,475.7,232.0,147.0,76.9,51.0,26.1
4,677.1,2851.2,3873.5,2293.3,736.3,322.1,200.9,117.8,74.0,37.0
5,1540.9,4442.6,5651.8,3724.3,1016.7,423.0,244.9,154.8,102.4,53.1
6,2801.2,6474.4,7034.4,5696.0,1432.9,646.9,355.1,235.3,149.1,93.8
7,4287.5,8424.6,5421.1,6458.5,1312.9,753.6,430.3,293.0,188.1,117.2
8,1839.3,3834.4,2201.4,3835.6,393.4,149.4,200.6,129.7,82.0,49.3
9,363.5,707.6,386.2,1439.4,201.2,2.6,12.5,64.2,55.9,36.9
