,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.41,0.11,0.1,0.12,0.15,0.14,0.17,0.0,0.0,0.0
2,0.83,0.43,0.35,0.38,0.46,0.78,1.02,0.54,0.12,0.06
3,0.68,0.47,0.38,0.4,0.7,0.75,0.69,0.99,0.84,0.15
4,1.05,0.65,0.5,0.44,0.84,0.79,0.9,0.77,0.68,0.62
5,1.04,0.85,0.49,0.46,1.09,1.02,0.94,0.81,0.71,0.68
6,1.15,1.0,0.59,0.5,1.4,0.96,1.12,0.8,0.72,0.67
7,1.14,1.1,0.99,0.6,2.5,1.09,1.12,0.93,0.86,0.8
8,1.77,1.51,1.5,0.64,6.38,2.5,1.12,0.88,0.76,0.63
9,1.53,1.24,1.75,0.62,7.61,112.5,1.83,1.03,1.05,0.67
