,0,1,2,3,4,5,6,7,8,9
0,30.6,329.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51.3,521.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,52.1,604.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,38.0,488.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.2,276.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.9,164.0,8.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,13.3,2272.9,426.2,4.7,0.5,0.0,0.0,0.0,0.0,0.0
7,23.8,14201.0,6502.5,519.2,120.7,19.1,4.0,1.9,0.0,1.5
8,4.9,8803.5,10741.3,3074.2,743.9,142.5,42.2,16.4,17.0,7.2
9,0.2,864.6,2244.9,511.3,172.3,74.0,28.5,9.2,1.5,0.6
