,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.0,22.0,46.0,12.0,8.0,2.0,1.0,0.0,0.0,0.0
3,9.0,29.0,481.0,101.0,42.0,9.0,9.0,1.0,0.0,0.0
4,136.0,603.0,1099.0,458.0,123.0,75.0,9.0,3.0,0.0,0.0
5,92.0,762.0,870.0,659.0,94.0,71.0,33.0,2.0,2.0,0.0
6,22.0,279.0,318.0,485.0,77.0,42.0,24.0,6.0,1.0,1.0
7,2.0,64.0,89.0,240.0,62.0,30.0,11.0,10.0,1.0,1.0
8,0.0,17.0,42.0,113.0,34.0,11.0,8.0,11.0,7.0,1.0
9,0.0,4.0,20.0,52.0,27.0,6.0,4.0,0.0,0.0,1.0
