,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,2.0,105.0,102.0,23.0,2.0,0.0,0.0
1,0.0,1.0,22.0,13.0,480.0,819.0,326.0,73.0,19.0,4.0
2,0.0,4.0,40.0,453.0,1068.0,883.0,348.0,93.0,48.0,19.0
3,0.0,1.0,8.0,94.0,464.0,678.0,505.0,249.0,113.0,54.0
4,0.0,1.0,8.0,42.0,117.0,104.0,79.0,65.0,33.0,29.0
5,0.0,0.0,2.0,9.0,80.0,71.0,41.0,30.0,11.0,6.0
6,0.0,0.0,1.0,9.0,9.0,35.0,22.0,11.0,8.0,4.0
7,0.0,0.0,0.0,1.0,3.0,2.0,6.0,12.0,10.0,0.0
8,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
