,0,1,2,3,4,5,6,7,8,9
0,1.0,0.0,0.0,11.0,101.0,430.0,146.0,25.0,2.0,0.0
1,0.0,11.0,10.0,13.0,159.0,1285.0,1077.0,328.0,87.0,29.0
2,0.0,3.0,67.0,380.0,658.0,1214.0,1245.0,498.0,193.0,81.0
3,0.0,1.0,5.0,64.0,323.0,876.0,945.0,611.0,301.0,138.0
4,0.0,0.0,2.0,18.0,85.0,194.0,218.0,190.0,102.0,67.0
5,0.0,0.0,0.0,9.0,59.0,95.0,130.0,104.0,67.0,41.0
6,0.0,0.0,2.0,7.0,30.0,56.0,66.0,49.0,36.0,35.0
7,0.0,0.0,0.0,6.0,13.0,19.0,38.0,36.0,22.0,15.0
8,0.0,0.0,1.0,0.0,5.0,13.0,6.0,18.0,22.0,12.0
9,0.0,0.0,0.0,0.0,6.0,7.0,5.0,3.0,7.0,5.0
