,0,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,21.0,21.0,29.0,215.0,69.0,21.0,9.0,6.0,0.0
3,236.0,1279.0,8831.0,1010.0,980.0,785.0,762.0,503.0,418.0,262.0
4,4843.0,7677.0,54076.0,30187.0,2892.0,2168.0,4665.0,2901.0,2262.0,1869.0
5,9940.0,27375.0,27863.0,61993.0,7662.0,4886.0,5075.0,4299.0,3171.0,2755.0
6,4626.0,17376.0,20171.0,39599.0,7001.0,4090.0,3517.0,2825.0,1960.0,1533.0
7,1019.0,6450.0,9971.0,20245.0,3069.0,2038.0,1444.0,1182.0,703.0,554.0
8,138.0,1463.0,8165.0,9626.0,1884.0,1185.0,1086.0,580.0,299.0,222.0
9,12.0,318.0,8267.0,3378.0,988.0,955.0,649.0,269.0,201.0,132.0
