,0,1,2,3,4,5,6,7,8,9
0,0.0,17.0,68.0,127.0,185.0,230.0,223.0,178.0,52.0,12.0
1,14.0,167.0,349.0,519.0,712.0,776.0,702.0,395.0,86.0,4.0
2,3.0,36.0,79.0,141.0,228.0,270.0,234.0,158.0,34.0,3.0
3,8.0,16.0,44.0,77.0,105.0,126.0,129.0,58.0,19.0,0.0
4,2.0,9.0,29.0,42.0,108.0,101.0,103.0,43.0,6.0,0.0
5,2.0,12.0,9.0,38.0,61.0,92.0,59.0,19.0,2.0,0.0
6,3.0,4.0,14.0,22.0,52.0,54.0,45.0,6.0,0.0,0.0
7,1.0,0.0,5.0,12.0,30.0,25.0,13.0,2.0,0.0,0.0
8,0.0,3.0,4.0,6.0,10.0,10.0,2.0,0.0,0.0,0.0
9,0.0,1.0,5.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0
