,0,1,2,3,4,5,6,7,8,9
0,23.0,120.0,264.0,381.0,609.0,768.0,892.0,886.0,265.0,41.0
1,73.0,461.0,651.0,1152.0,1711.0,1939.0,2206.0,2010.0,523.0,51.0
2,16.0,92.0,170.0,270.0,479.0,598.0,651.0,650.0,200.0,23.0
3,8.0,42.0,87.0,134.0,218.0,269.0,335.0,298.0,119.0,7.0
4,1.0,25.0,57.0,92.0,197.0,253.0,275.0,222.0,84.0,4.0
5,1.0,22.0,31.0,66.0,132.0,215.0,233.0,238.0,75.0,5.0
6,2.0,14.0,34.0,56.0,113.0,175.0,216.0,149.0,60.0,0.0
7,1.0,7.0,18.0,38.0,110.0,145.0,179.0,92.0,17.0,0.0
8,1.0,3.0,11.0,27.0,62.0,101.0,89.0,33.0,3.0,0.0
9,0.0,1.0,16.0,28.0,63.0,63.0,77.0,25.0,7.0,0.0
