,0,1,2,3,4,5,6,7,8,9
0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
1,79.0,281.0,71.0,31.0,16.0,11.0,6.0,3.0,4.0,0.0
2,260.0,806.0,213.0,94.0,64.0,34.0,22.0,17.0,15.0,12.0
3,421.0,1368.0,374.0,223.0,112.0,63.0,56.0,39.0,22.0,29.0
4,721.0,2569.0,736.0,312.0,266.0,148.0,118.0,110.0,65.0,50.0
5,953.0,3549.0,941.0,470.0,384.0,297.0,227.0,194.0,140.0,106.0
6,1215.0,4375.0,1250.0,602.0,497.0,396.0,341.0,285.0,173.0,124.0
7,1122.0,3928.0,1263.0,585.0,403.0,372.0,258.0,173.0,113.0,73.0
8,403.0,810.0,284.0,152.0,114.0,109.0,77.0,25.0,7.0,9.0
9,46.0,57.0,25.0,9.0,4.0,6.0,1.0,0.0,0.0,0.0
