,0,1,2,3,4,5,6,7,8,9
0,0.29,0.33,0.43,0.42,0.49,0.52,0.5,0.38,0.29,0.14
1,0.59,0.65,0.48,0.51,0.5,0.42,0.38,0.37,0.5,0.33
2,0.37,0.42,0.47,0.49,0.66,0.63,0.54,0.57,0.72,0.51
3,0.28,0.34,0.43,0.4,0.46,0.45,0.46,0.46,0.67,1.4
4,0.14,0.62,0.66,0.63,0.81,0.73,0.6,0.51,0.88,inf
5,0.5,1.05,0.58,0.69,0.78,0.82,0.66,0.77,8.33,inf
6,1.0,0.88,0.89,0.7,0.76,0.77,0.73,1.1,inf,
7,1.0,0.58,0.6,0.56,0.85,0.71,0.92,2.3,inf,
8,1.0,0.2,0.39,0.44,0.56,0.59,1.06,0.97,inf,
9,0.0,0.11,0.57,0.48,0.64,0.62,2.33,1.14,inf,
